id,pm10,lat,long,wojewodztwo,kod_pocztowy,gmina
983,55.912267099693715,49.861103,19.354464999999998,małopolskie,34-120,gmina Andrychów
984,47.5005681223132,50.087218,19.018774999999998,śląskie,43-100,Tychy
987,40.98358556969412,50.124142,19.048561,śląskie,43-100,Tychy
988,35.84893290793279,49.914302,19.903178999999998,małopolskie,32-031,gmina Mogilany
990,115.72200000000001,51.521224,19.994991,łódzkie,97-200,Tomaszów Mazowiecki
991,0.0,50.132152999999995,18.97844,śląskie,43-100,Tychy
992,45.03745854916539,50.145948999999995,18.999301,śląskie,43-100,Tychy
993,40.78541281079425,50.108272,19.041725,śląskie,43-100,Tychy
995,89.5867639246985,51.529415,20.03248,łódzkie,97-200,Tomaszów Mazowiecki
996,71.00586674374077,51.524898,20.017032,łódzkie,97-200,Tomaszów Mazowiecki
997,74.58552019643945,51.526160999999995,20.024732,łódzkie,97-200,Tomaszów Mazowiecki
999,76.36805700192086,50.045738,19.493619,małopolskie,32-551,gmina Babice
1003,90.68561500543362,49.982127999999996,19.147743,małopolskie,32-620,gmina Brzeszcze
1006,81.4512971929565,50.070571,19.44701,małopolskie,32-551,gmina Babice
1010,48.441805700024524,50.115196,18.989158,śląskie,43-100,Tychy
1011,65.34007406328928,50.308643,19.006967,śląskie,41-100,Siemianowice Śląskie
1012,55.861560635744134,50.491305999999994,18.021879,opolskie,47-320,gmina Gogolin
1015,82.84469578932173,50.07172,19.962346999999998,małopolskie,31-517,Kraków
1016,62.14335501973814,52.198851999999995,20.933954,mazowieckie,02-231,Warszawa
1018,55.54333306536595,50.16917,19.827109999999998,małopolskie,32-089,gmina Wielka Wieś
1019,66.59080854603624,52.651633999999994,16.07868,wielkopolskie,64-410,gmina Sieraków
1022,51.77158264530647,50.203201,19.275479999999998,śląskie,43-600,Jaworzno
1023,79.04102001721374,51.51345,20.043609,łódzkie,97-200,Tomaszów Mazowiecki
1025,84.71323545272575,51.530772999999996,20.010901999999998,łódzkie,97-200,Tomaszów Mazowiecki
1026,86.05427990740334,50.038497,19.946849,małopolskie,30-955,Kraków
1027,78.34234201367777,50.157283,19.89491,małopolskie,32-088,gmina Zielonki
1028,48.5349063581257,50.28453,21.465643999999998,podkarpackie,39-300,Mielec
1029,64.65982513726962,50.078739,20.029011999999998,małopolskie,31-945,Kraków
1032,71.51152588660419,50.290324999999996,21.41407,podkarpackie,39-302,Mielec
1033,64.58060681439682,50.141017,19.863014,małopolskie,32-085,gmina Wielka Wieś
1035,47.86952263797317,50.105781,18.986235999999998,śląskie,43-100,Tychy
1036,51.632477587196156,50.296451,21.436045999999997,podkarpackie,39-300,Mielec
1037,78.12214345391507,50.048697999999995,20.101568,małopolskie,31-983,Kraków
1043,75.79002616328583,51.537577999999996,20.018183999999998,łódzkie,97-200,Tomaszów Mazowiecki
1046,79.95957999244555,52.234443,21.011889999999998,mazowieckie,00-015,Warszawa
1047,0.0,51.5335,19.99636,łódzkie,97-200,Tomaszów Mazowiecki
1049,57.82190573784283,49.64785,19.820648,małopolskie,34-240,Jordanów
1050,49.98021375050169,50.123638,18.980515999999998,śląskie,43-100,Tychy
1054,83.33855759207736,51.531101,19.996261,łódzkie,97-200,Tomaszów Mazowiecki
1056,81.3971758536282,51.527347,20.00275,łódzkie,97-200,Tomaszów Mazowiecki
1059,70.24769819598086,52.248160999999996,21.047359,mazowieckie,03-802,Warszawa
1060,63.02940885463547,49.647681999999996,19.829781999999998,małopolskie,34-240,Jordanów
1062,62.85949351761938,52.397622999999996,16.89924,wielkopolskie,60-744,Poznań
1064,55.14232876750455,50.455921,17.333143,opolskie,48-303,gmina Nysa
1065,74.19583793313768,50.078914,19.971742,małopolskie,31-462,Kraków
1066,63.384865309732916,52.195251,21.023678999999998,mazowieckie,02-620,Warszawa
1067,55.34391013336777,50.770168,16.277293999999998,dolnośląskie,58-300,Wałbrzych
1068,33.0731609209264,50.108024,19.896123,małopolskie,31-334,Kraków
1069,32.231170508815794,52.214999999999996,20.980407,mazowieckie,02-094,Warszawa
1070,91.30576964091142,50.002871999999996,19.891984,małopolskie,30-389,Kraków
1071,64.31847428856798,52.229803999999994,20.914735,mazowieckie,01-355,Warszawa
1072,59.51026942810342,52.160613999999995,21.0279,mazowieckie,02-722,Warszawa
1073,70.89150455900341,49.760314,19.069353,śląskie,43-360,gmina Wilkowice
1074,59.30632653513679,52.242335999999995,20.995433,mazowieckie,00-140,Warszawa
1078,61.31996649268807,49.82806,19.887807,małopolskie,32-400,gmina Myślenice
1081,93.19135360300199,50.055164,19.947015,małopolskie,31-038,Kraków
1083,92.18307796464953,50.040775,19.440286,małopolskie,32-551,gmina Babice
1084,50.21760589136203,50.539466,18.076090999999998,opolskie,47-325,gmina Gogolin
1086,57.79006433820173,52.154658999999995,20.923595,mazowieckie,05-090,gmina Raszyn
1087,66.35649237930646,50.903090999999996,15.738738999999999,dolnośląskie,58-500,Jelenia Góra
1088,72.1376613940642,49.985884999999996,19.156969999999998,małopolskie,32-620,gmina Brzeszcze
1091,68.21913706777543,52.225573999999995,21.082534,mazowieckie,03-982,Warszawa
1092,70.34959901838194,50.156845,19.878486,małopolskie,32-087,gmina Zielonki
1095,70.96148022953703,50.247264,19.161379999999998,śląskie,41-208,Sosnowiec
1096,71.68577574417118,50.064479,19.93176,małopolskie,31-128,Kraków
1098,63.51352854165936,50.005686999999995,19.157365,małopolskie,32-620,gmina Brzeszcze
1101,70.98874537363709,50.011554,20.983843999999998,małopolskie,33-110,Tarnów
1102,69.63960388517607,50.294857,18.66806,śląskie,44-100,Gliwice
1104,49.30485246030616,50.835860999999994,19.136668999999998,śląskie,42-224,Częstochowa
1105,41.25784958776282,49.651171999999995,21.185544,małopolskie,38-300,Gorlice
1106,61.637671040169636,52.351547,20.826643999999998,mazowieckie,05-092,gmina Łomianki
1109,63.89418600345071,52.175228,21.000638,mazowieckie,02-691,Warszawa
1110,47.82603975324227,50.828337999999995,19.117839,śląskie,42-215,Częstochowa
1112,61.000593522380115,50.793659,19.100589,śląskie,42-202,Częstochowa
1113,66.84853375277994,50.29457,18.949199,śląskie,41-500,Chorzów
1114,45.55549277612799,50.819888999999996,19.06624,śląskie,42-202,Częstochowa
1115,0.0,50.242816,21.491419999999998,podkarpackie,39-300,Mielec
1116,59.41813819555563,50.29734,18.954078,śląskie,41-500,Chorzów
1117,41.00591037793644,50.317977,21.487232,podkarpackie,39-300,Mielec
1118,42.191771710640744,50.316322,21.454266999999998,podkarpackie,39-300,Mielec
1120,63.92276506785953,52.332237,20.889723999999998,mazowieckie,05-092,gmina Łomianki
1121,60.998543472800975,51.844069999999995,16.573978,wielkopolskie,64-100,Leszno
1123,90.58032588419454,50.298995,18.675898999999998,śląskie,44-100 GLIWICE,Gliwice
1124,72.90733082281604,49.907363,19.604882999999997,małopolskie,34-105,gmina Wadowice
1125,49.2878632353624,50.291381,21.441122,podkarpackie,39-300,Mielec
1126,96.37291761397663,51.546896999999994,20.023526999999998,łódzkie,97-200,Tomaszów Mazowiecki
1127,51.67692487948553,51.111053,17.029436,dolnośląskie,50-126,Wrocław
1128,58.8790110713377,50.2859,21.45083,podkarpackie,39-300,Mielec
1129,71.41126840617154,52.401809,17.163439999999998,wielkopolskie,62-021,gmina Swarzędz
1131,51.03835441395226,50.335327,21.510026,podkarpackie,39-331,gmina Mielec
1132,71.02809170892262,52.337351999999996,20.894819,mazowieckie,05-092,gmina Łomianki
1133,64.47224397236425,50.12976,19.862388,małopolskie,32-085,gmina Wielka Wieś
2082,58.60004670132621,51.749041999999996,19.487371,łódzkie,93-114,Łódź
2083,82.51904148224969,50.133136,18.485426999999998,śląskie,44-292,Rybnik
2084,43.738599015579545,50.839645,16.476451,dolnośląskie,58-100,Świdnica
2086,68.06955150964686,50.029571,22.017612,podkarpackie,35-315,Rzeszów
2088,79.17143652627972,51.53022,20.032401999999998,łódzkie,97-200,Tomaszów Mazowiecki
2089,86.96835260181986,49.88182,19.221847,małopolskie,32-650,gmina Kęty
2090,71.98543097992335,49.992714,20.172606,małopolskie,32-005,gmina Niepołomice
2091,73.32708995212838,50.100009,18.517341,śląskie,44-200,Rybnik
2092,66.75853383632659,52.343920999999995,20.898891,mazowieckie,05-092,gmina Łomianki
2093,74.76132493002852,50.097881,18.544477,śląskie,44-200,Rybnik
2094,59.78279869584731,50.090576,18.526135999999997,śląskie,44-200,Rybnik
